theta_condition,seed,total_episodes,reached_goal,wrong_arm,timeouts,percentage_correct,average_time_to_goal
clean_theta,0,10,8,0,2,0.8,50.34374999996623
clean_theta,2,10,7,1,2,0.7,49.298571428532505
clean_theta,4,10,10,0,0,1.0,53.062999999966245
clean_theta,6,10,8,0,2,0.8,50.444999999959315
clean_theta,42,10,8,0,2,0.8,55.7687499999674
