theta_condition,seed,episode,label,duration,reward_count,wrong_arm_count,timeout_count
ScrTheta_0.2,0,0,timeout,90.00000000000914,0,0,1
ScrTheta_0.2,0,1,timeout,90.00999999997212,0,0,1
ScrTheta_0.2,0,2,reached_goal,87.8899999999201,1,0,0
ScrTheta_0.2,0,3,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,0,4,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,0,5,timeout,90.0099999999182,0,0,1
ScrTheta_0.2,0,6,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,0,7,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,0,8,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,0,9,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,2,0,reached_goal,52.699999999998084,1,0,0
ScrTheta_0.2,2,1,reached_goal,48.52000000001679,1,0,0
ScrTheta_0.2,2,2,timeout,90.00999999995618,0,0,1
ScrTheta_0.2,2,3,timeout,90.00999999991816,0,0,1
ScrTheta_0.2,2,4,reached_goal,82.19999999992524,1,0,0
ScrTheta_0.2,2,5,reached_goal,49.75999999995474,1,0,0
ScrTheta_0.2,2,6,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,2,7,reached_goal,85.20999999992256,1,0,0
ScrTheta_0.2,2,8,reached_goal,82.04999999992538,1,0,0
ScrTheta_0.2,2,9,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,4,0,reached_goal,79.7700000000039,1,0,0
ScrTheta_0.2,4,1,reached_goal,45.44000000002325,1,0,0
ScrTheta_0.2,4,2,timeout,90.00999999992209,0,0,1
ScrTheta_0.2,4,3,reached_goal,81.54999999992586,1,0,0
ScrTheta_0.2,4,4,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,4,5,reached_goal,64.54999999994129,1,0,0
ScrTheta_0.2,4,6,timeout,90.0099999999182,0,0,1
ScrTheta_0.2,4,7,reached_goal,70.23999999993612,1,0,0
ScrTheta_0.2,4,8,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,4,9,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,6,0,timeout,90.00000000000914,0,0,1
ScrTheta_0.2,6,1,reached_goal,80.03999999998119,1,0,0
ScrTheta_0.2,6,2,reached_goal,50.69999999995389,1,0,0
ScrTheta_0.2,6,3,reached_goal,46.32999999995789,1,0,0
ScrTheta_0.2,6,4,reached_goal,45.92999999995823,1,0,0
ScrTheta_0.2,6,5,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,6,6,reached_goal,69.82999999993649,1,0,0
ScrTheta_0.2,6,7,timeout,90.0099999999182,0,0,1
ScrTheta_0.2,6,8,reached_goal,89.21999999991885,1,0,0
ScrTheta_0.2,6,9,reached_goal,46.20999999995797,1,0,0
ScrTheta_0.2,42,0,reached_goal,54.76999999999767,1,0,0
ScrTheta_0.2,42,1,timeout,90.00000000001563,0,0,1
ScrTheta_0.2,42,2,reached_goal,49.51999999995496,1,0,0
ScrTheta_0.2,42,3,timeout,90.00999999991816,0,0,1
ScrTheta_0.2,42,4,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,42,5,reached_goal,56.399999999948704,1,0,0
ScrTheta_0.2,42,6,reached_goal,83.90999999992374,1,0,0
ScrTheta_0.2,42,7,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,42,8,timeout,90.00999999991814,0,0,1
ScrTheta_0.2,42,9,reached_goal,58.049999999947204,1,0,0
