theta_condition,seed,episode,label,duration,reward_count,wrong_arm_count,timeout_count
ScrTheta_0.2,0,0,reached_goal,61.639999999996306,1,0,0
ScrTheta_0.2,0,1,timeout,85.0000000000153,0,0,1
ScrTheta_0.2,0,2,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,0,3,wrong_arm,58.13999999994715,0,1,0
ScrTheta_0.2,0,4,reached_goal,45.349999999958754,1,0,0
ScrTheta_0.2,0,5,reached_goal,47.469999999956826,1,0,0
ScrTheta_0.2,0,6,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,0,7,reached_goal,76.95999999993006,1,0,0
ScrTheta_0.2,0,8,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,0,9,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,2,0,timeout,85.00000000000658,0,0,1
ScrTheta_0.2,2,1,reached_goal,61.72000000000496,1,0,0
ScrTheta_0.2,2,2,wrong_arm,74.3299999999324,0,1,0
ScrTheta_0.2,2,3,wrong_arm,74.64999999993213,0,1,0
ScrTheta_0.2,2,4,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,2,5,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,2,6,timeout,85.00999999992274,0,0,1
ScrTheta_0.2,2,7,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,2,8,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,2,9,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,4,0,timeout,85.00000000000658,0,0,1
ScrTheta_0.2,4,1,timeout,85.00999999998378,0,0,1
ScrTheta_0.2,4,2,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,4,3,timeout,85.00999999992271,0,0,1
ScrTheta_0.2,4,4,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,4,5,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,4,6,timeout,85.00999999992274,0,0,1
ScrTheta_0.2,4,7,reached_goal,73.96999999993272,1,0,0
ScrTheta_0.2,4,8,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,4,9,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,6,0,wrong_arm,65.02999999999636,0,1,0
ScrTheta_0.2,6,1,timeout,85.00000000001216,0,0,1
ScrTheta_0.2,6,2,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,6,3,timeout,85.00999999992271,0,0,1
ScrTheta_0.2,6,4,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,6,5,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,6,6,reached_goal,47.02999999995728,1,0,0
ScrTheta_0.2,6,7,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,6,8,reached_goal,66.7399999999393,1,0,0
ScrTheta_0.2,6,9,reached_goal,51.44999999995321,1,0,0
ScrTheta_0.2,42,0,timeout,85.00000000000658,0,0,1
ScrTheta_0.2,42,1,reached_goal,83.49999999998515,1,0,0
ScrTheta_0.2,42,2,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,42,3,timeout,85.00999999992271,0,0,1
ScrTheta_0.2,42,4,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,42,5,reached_goal,66.42999999993958,1,0,0
ScrTheta_0.2,42,6,timeout,85.00999999992274,0,0,1
ScrTheta_0.2,42,7,timeout,85.00999999992268,0,0,1
ScrTheta_0.2,42,8,reached_goal,47.94999999995639,1,0,0
ScrTheta_0.2,42,9,timeout,85.00999999992268,0,0,1
