theta_condition,seed,total_episodes,reached_goal,wrong_arm,timeouts,percentage_correct,average_time_to_goal
ScrTheta,0,10,0,0,10,0.0,
ScrTheta,2,10,0,0,10,0.0,
ScrTheta,4,10,0,0,10,0.0,
ScrTheta,6,10,0,0,10,0.0,
ScrTheta,42,10,0,0,10,0.0,
