theta_condition,seed,total_episodes,reached_goal,wrong_arm,timeouts,percentage_correct,average_time_to_goal
ScrTheta_0.2,0,10,0,0,10,0.0,
ScrTheta_0.2,2,10,2,0,8,0.2,55.4249999999775
ScrTheta_0.2,4,10,2,1,7,0.2,61.65499999994395
ScrTheta_0.2,6,10,3,1,6,0.3,62.18333333327678
ScrTheta_0.2,42,10,2,1,7,0.2,66.14999999993984
