theta_condition,seed,total_episodes,reached_goal,wrong_arm,timeouts,percentage_correct,average_time_to_goal
ScrTheta_0.6,0,10,0,0,10,0.0,
ScrTheta_0.6,2,10,0,0,10,0.0,
ScrTheta_0.6,4,10,0,0,10,0.0,
ScrTheta_0.6,6,10,0,0,10,0.0,
ScrTheta_0.6,42,10,0,0,10,0.0,
